 , ,,,,
QICPIC (QP0002) & LIXELL, 5.00 63.0 mm - M4 (2 ... 682 �m),,,,
Torraca_TC2,2019-02-21, 16:39:08,592,,
,,,,,
Aspect ratio (AR) vs. size ,,,,,
xm/�m,aspect ratio,,,,
400,  5.03,,395,262,
410,  5.14,,405,116,
420,  5.26,,415,119,
430,  5.43,,425,169,
440,  5.59,,435,156,
450, 22.48,,445,16893,
460, 22.67,,455,192,
470, 22.98,,465,309,
480, 23.31,,475,328,
490, 23.92,,485,607,
500, 24.54,,495,624,
510, 25.09,,505,551,
520, 25.86,,515,766,
530, 26.28,,525,425,
540, 26.73,,535,448,
550, 27.19,,545,461,
560, 33.24,,555,6048,
570, 33.70,,565,461,
580, 34.08,,575,378,
590, 34.53,,585,451,
600, 35.12,,595,587,
610, 36.66,,605,1546,
620, 37.05,,615,385,
630, 37.89,,625,846,
640, 39.72,,635,1828,
650, 39.94,,645,216,
660, 40.49,,655,551,
670, 41.21,,665,720,
680, 43.03,,675,1828,
690, 44.22,,685,1181,
700, 44.75,,695,534,
710, 89.93,,705,45185,
720, 90.22,,715,285,
730, 90.66,,725,438,
740, 90.99,,735,328,
750, 92.89,,745,1908,
760, 93.06,,755,166,
770, 93.61,,765,547,
780, 93.94,,775,335,
790, 95.06,,785,1115,
800, 95.49,,795,435,
810, 96.64,,805,1145,
820, 96.88,,815,245,
830, 97.18,,825,295,
840, 98.22,,835,1045,
850, 98.47,,845,245,
860, 98.93,,855,458,
870, 99.09,,865,166,
880, 99.17,,875,83,
890, 99.25,,885,73,
900, 99.82,,895,574,
910, 99.86,,905,36,
920, 99.93,,915,73,
930, 99.98,,925,46,
940, 99.99,,935,13,
950,100.00,,945,7,
960,100.00,,955,0,
970,100.00,,965,3,
980,100.00,,975,0,
990,100.00,,985,0,
1000,100.00,,995,0,
 ,,,,,
,,,,,
,,,,,
Distribution density (log.),,,,,
size determined for calculation:  FERET_MAX,,,,,
,,,,,
mean size,distribution,,,,
for band,density (log),,,,
xm/�m,q0lg,,,,
    1.60,0.00,,,,
    2.35,0.00,,,,
    2.70,3.45,,,,
    3.31,0.52,,,,
    4.04,1.88,,,,
    4.94,0.09,,,,
    6.04,1.14,,,,
    7.39,0.74,,,,
    9.04,0.86,,,,
   11.05,0.79,,,,
   13.51,0.58,,,,
   16.52,0.40,,,,
   20.20,0.32,,,,
   24.70,0.25,,,,
   30.20,0.17,,,,
   36.93,0.12,,,,
   45.16,0.06,,,,
   55.22,0.04,,,,
   67.52,0.02,,,,
   82.56,0.01,,,,
  100.95,0.00,,,,
  123.43,0.00,,,,
  150.93,0.00,,,,
  184.54,0.00,,,,
  225.65,0.00,,,,
  275.91,0.00,,,,
  337.37,0.00,,,,
  412.52,0.00,,,,
  504.41,0.00,,,,
  616.76,0.00,,,,
 2183.03,0.00,,,,
 ,,,,,
,,,,,
,,,,,
distribution density (lin.),,,,,
size determined for calculation:  FERET_MAX,,,,,
mean size,distribution,,,,
for band,density (linear),,,,
xm/�m,q0/1/mm,,,,
    1.69,0,,,,
    2.35,0,,,,
    2.72,553799,,,,
    3.32,68380,,,,
    4.06,201835,,,,
    4.97,7638,,,,
    6.08,81548,,,,
    7.43,43653,,,,
    9.08,41257,,,,
   11.11,31066,,,,
   13.58,18512,,,,
   16.61,10456,,,,
   20.30,6848,,,,
   24.83,4321,,,,
   30.36,2403,,,,
   37.12,1410,,,,
   45.39,577,,,,
   55.50,297,,,,
   67.86,144,,,,
   82.97,79,,,,
  101.46,17,,,,
  124.06,6,,,,
  151.69,1,,,,
  185.48,0,,,,
  226.79,0,,,,
  277.31,0,,,,
  339.08,0,,,,
  414.61,0,,,,
  506.96,0,,,,
  619.88,0,,,,
 3834.87,0,,,,
,,,,,
,,,,,
Particles in QICPIC calculation,,,,,
30143,,,,,
,,,,,
,,,,,
,,,,,
 , ,,,,
QICPIC (QP0002) & LIXELL, 5.00 63.0 mm - M4 (2 ... 682 �m),,,,
Torraca_TC2,2019-02-21, 16:44:15,878,,
,,,,,
Aspect ratio (AR) vs. size ,,,,,
xm/�m,aspect ratio,,,,
1.41, ,,,,
2.21, ,,,,
2.70,0.71 ,,,,
3.31,0.71 ,,,,
4.04,0.45 ,,,,
4.94,0.45 ,,,,
6.04,0.59 ,,,,
7.39,0.60 ,,,,
9.04,0.59 ,,,,
11.05,0.65 ,,,,
13.51,0.65 ,,,,
16.52,0.67 ,,,,
20.20,0.64 ,,,,
24.70,0.62 ,,,,
30.20,0.58 ,,,,
36.93,0.58 ,,,,
45.16,0.58 ,,,,
55.22,0.58 ,,,,
67.52,0.59 ,,,,
82.56,0.54 ,,,,
100.95,0.45 ,,,,
123.43, ,,,,
150.93,0.32 ,,,,
184.54,0.29 ,,,,
225.65, ,,,,
275.91, ,,,,
337.37, ,,,,
412.52, ,,,,
504.41,0.15 ,,,,
616.76, ,,,,
2183.03, ,,,,
 ,,,,,
,,,,,
,,,,,
AR cumulative distribution,Mean AR density,,,,
aspect ratio,cumulative,,mean aspect ratio,distribution,
distribution,distribution,,,,
aO,Q0 / %,,,am,q0
10,  0.00,,5,0,
20,  0.00,,15,0,
30,  0.00,,25,0,
40,  0.00,,35,0,
50,  0.00,,45,0,
60,  0.00,,55,0,
70,  0.00,,65,0,
80,  0.00,,75,0,
90,  0.00,,85,0,
100,  0.00,,95,0,
110,  0.00,,105,0,
120,  0.00,,115,0,
130,  0.00,,125,0,
140,  0.00,,135,0,
150,  0.00,,145,0,
160,  0.00,,155,4,
170,  0.01,,165,4,
180,  0.01,,175,0,
190,  0.01,,185,4,
200,  0.05,,195,39,
210,  0.05,,205,0,
220,  0.07,,215,15,
230,  0.07,,225,4,
240,  0.08,,235,8,
250,  0.62,,245,538,
260,  0.62,,255,4,
270,  0.64,,265,19,
280,  0.67,,275,27,
290,  0.70,,285,39,
300,  0.72,,295,19,
310,  0.77,,305,46,
320,  3.86,,315,3087,
330,  3.98,,325,120,
340,  4.02,,335,39,
350,  4.07,,345,54,
360,  4.15,,355,77,
370,  4.25,,365,101,
380,  4.67,,375,426,
390,  4.79,,385,112,
400,  5.00,,395,209,
410,  5.15,,405,151,
420,  5.29,,415,147,
430,  5.45,,425,159,
440,  5.63,,435,174,
450, 22.56,,445,16936,
460, 22.79,,455,225,
470, 23.12,,465,329,
480, 23.47,,475,356,
490, 24.02,,485,542,
500, 24.70,,495,682,
510, 25.32,,505,624,
520, 26.15,,515,833,
530, 26.55,,525,399,
540, 27.00,,535,445,
550, 27.40,,545,399,
560, 33.42,,555,6026,
570, 33.94,,565,515,
580, 34.28,,575,341,
590, 34.85,,585,573,
600, 35.41,,595,562,
610, 36.94,,605,1530,
620, 37.38,,615,438,
630, 38.21,,625,829,
640, 40.21,,635,1998,
650, 40.52,,645,314,
660, 41.11,,655,589,
670, 41.90,,665,790,
680, 43.76,,675,1863,
690, 45.19,,685,1429,
700, 45.77,,695,573,
710, 89.44,,705,43675,
720, 89.73,,715,287,
730, 90.20,,725,469,
740, 90.54,,735,345,
750, 92.66,,745,2115,
760, 92.82,,755,163,
770, 93.35,,765,534,
780, 93.65,,775,294,
790, 94.91,,785,1266,
800, 95.22,,795,306,
810, 96.44,,805,1224,
820, 96.79,,815,349,
830, 97.10,,825,306,
840, 98.11,,835,1015,
850, 98.44,,845,329,
860, 98.93,,855,484,
870, 99.14,,865,213,
880, 99.24,,875,97,
890, 99.30,,885,62,
900, 99.84,,895,542,
910, 99.86,,905,23,
920, 99.96,,915,97,
